WLTW,Willis Towers Watson,Financials,Insurance Brokers,London; United Kingdom
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,Tulsa; Oklahoma
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,Bentonville; Arkansas
WU,Western Union Co,Information Technology,Internet Software & Services,Englewood; Colorado
WRK,WestRock Company,Materials,Paper Packaging,Richmond; Virginia
WY,Weyerhaeuser Corp.,Real Estate,REITs,Federal Way; Washington
WYN,Wyndham Worldwide,Consumer Discretionary,Hotels; Resorts & Cruise Lines,Parsippany; New Jersey
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,Las Vegas; Nevada
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,Denver; Colorado
XEL,Xcel Energy Inc,Utilities,MultiUtilities,Minneapolis; Minnesota
XRX,Xerox Corp.,Information Technology,IT Consulting & Other Services,Norwalk; Connecticut
XLNX,Xilinx Inc,Information Technology,Semiconductors,San Jose; California
XL,XL Capital,Financials,Property & Casualty Insurance,Hamilton; Bermuda
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,White Plains; New York
EQIX,Equinix,Real Estate,REITs,Redwood City; California
EQR,Equity Residential,Real Estate,REITs,Chicago; Illinois
ESS,Essex Property Trust; Inc.,Real Estate,Residential REITs,Palo Alto; California
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,New York; New York
ES,Eversource Energy,Utilities,MultiUtilities,Springfield; Massachusetts
